,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual,school_modified,school_id,school_name
12,38684786040752.0,0634410,05590,Active,San Francisco,San Francisco Unified,Carmichael (Bessie)/FEC,375 Seventh Street,375 Seventh St.,San Francisco,94103-4020,CA,375 Seventh Street,375 Seventh St.,San Francisco,94103-4020,CA,(415) 355-6916,No Data,(415) 355-7683,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,37.775856,-122.40674,Anna,Wayne,08/19/2025,Y,Carmichael (Bessie) K-8,449.0,Carmichael (Bessie) K-8
13,38684786093496.0,0634410,05616,Active,San Francisco,San Francisco Unified,Carver (George Washington) Elementary,1360 Oakdale Avenue,1360 Oakdale Ave.,San Francisco,94124-2724,CA,1360 Oakdale Avenue,1360 Oakdale Ave.,San Francisco,94124-2724,CA,(415) 330-1540,No Data,(415) 467-7217,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.732403,-122.38638,Makaela,Manning,02/09/2023,N,Carver (Dr George W) ES,625.0,Carver (Dr George W) ES
14,38684786041149.0,0634410,05623,Active,San Francisco,San Francisco Unified,Chavez (Cesar) Elementary,825 Shotwell Street,825 Shotwell St.,San Francisco,94110-3212,CA,825 Shotwell Street,825 Shotwell St.,San Francisco,94110-3212,CA,(415) 695-5765,No Data,(415) 695-5843,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.754880,-122.41541,Lindsay,Dowdle,12/02/2021,Y,Chavez (Cesar) ES,603.0,Chavez (Cesar) ES
15,38684786113252.0,0634410,05369,Active,San Francisco,San Francisco Unified,Chin (John Yehall) Elementary,350 Broadway Street,350 Broadway St.,San Francisco,94133-4503,CA,350 Broadway Street,350 Broadway St.,San Francisco,94133-4503,CA,(415) 291-7946,No Data,(415) 291-7943,No Data,09/05/1995,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.798310,-122.40317,Allen,Lee,02/13/2019,Y,Chin (John Yehall) ES,872.0,Chin (John Yehall) ES
16,38684780120386.0,0634410,12487,Active,San Francisco,San Francisco Unified,Chinese Immersion School at DeAvila,1250 Waller Street,1250 Waller St.,San Francisco,94117-2919,CA,1250 Waller Street,1250 Waller St.,San Francisco,94117-2919,CA,(415) 241-6325,No Data,(415) 241-6540,www.sfusd.edu,08/24/2009,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.769464,-122.44429,Mia,Yee,11/16/2023,Y,Chinese Immersion School at DeAvila ES,509.0,Chinese Immersion School at DeAvila ES
17,38684786040828.0,0634410,05666,Active,San Francisco,San Francisco Unified,Clarendon Alternative Elementary,500 Clarendon Avenue,500 Clarendon Ave.,San Francisco,94131-1113,CA,500 Clarendon Avenue,500 Clarendon Ave.,San Francisco,94131-1113,CA,(415) 759-2796,No Data,(415) 759-2799,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.752989,-122.45611,Carrie,Maloney,05/23/2025,Y,Clarendon ES,478.0,Clarendon ES
18,38684786040836.0,0634410,05597,Active,San Francisco,San Francisco Unified,Cleveland Elementary,455 Athens Street,455 Athens St.,San Francisco,94112-2801,CA,455 Athens Street,455 Athens St.,San Francisco,94112-2801,CA,(415) 469-4709,No Data,(415) 469-4051,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.720733,-122.42904,Lenar,Ruiz,07/24/2025,Y,Cleveland ES,481.0,Cleveland ES
19,38684786040968.0,0634410,05681,Active,San Francisco,San Francisco Unified,Cobb (William L.) Elementary,2725 California Street,2725 California St.,San Francisco,94115-2513,CA,2725 California Street,2725 California St.,San Francisco,94115-2513,CA,(415) 749-3505,No Data,(415) 749-3436,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.788174,-122.43918,Henry,Wong,07/24/2025,N,Cobb (Dr William L) ES,525.0,Cobb (Dr William L) ES
20,38684786059869.0,0634410,05628,Active,San Francisco,San Francisco Unified,Denman (James) Middle,241 Oneida Avenue,241 Oneida Ave.,San Francisco,94112-3228,CA,241 Oneida Avenue,241 Oneida Ave.,San Francisco,94112-3228,CA,(415) 469-4535,No Data,(415) 585-8402,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.721993,-122.44331,Jenny,Ujiie,09/17/2024,Y,Denman (James) MS,632.0,Denman (James) MS
21,38684783830064.0,0634410,05602,Active,San Francisco,San Francisco Unified,Downtown High,693 Vermont Street,693 Vermont St.,San Francisco,94107-2635,CA,693 Vermont Street,693 Vermont St.,San Francisco,94107-2635,CA,(415) 695-5860,No Data,(415) 695-5863,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,9-12,N,N,N,No Data,37.760939,-122.40407,Todd,Williams,02/09/2023,N,Downtown HS,,
22,38684786104673.0,0634410,08191,Active,San Francisco,San Francisco Unified,Drew (Charles) College Preparatory Academy,50 Pomona Avenue,50 Pomona Ave.,San Francisco,94124-2344,CA,50 Pomona Avenue,50 Pomona Ave.,San Francisco,94124-2344,CA,(415) 330-1526,No Data,(415) 822-9210,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.731779,-122.39355,Vidrale,Franklin,02/09/2023,N,Drew (Dr Charles) College Preparatory Academy ES,507.0,Drew (Dr Charles) College Preparatory Academy ES
23,38684786040950.0,0634410,05605,Active,San Francisco,San Francisco Unified,El Dorado Elementary,70 Delta Street,70 Delta St.,San Francisco,94134-2145,CA,70 Delta Street,70 Delta St.,San Francisco,94134-2145,CA,(415) 330-1537,No Data,(415) 467-2435,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,37.719265,-122.40673,Danielle,Cordova-Camou,09/17/2024,N,El Dorado ES,521.0,El Dorado ES
24,38684786062038.0,0634410,07842,Active,San Francisco,San Francisco Unified,Everett Middle,450 Church Street,450 Church St.,San Francisco,94114-1721,CA,450 Church Street,450 Church St.,San Francisco,94114-1721,CA,(415) 241-6344,No Data,(415) 241-6361,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.763667,-122.42858,Crisoforo,Garza,07/24/2025,Y,Everett MS,529.0,Everett MS
25,38684780111427.0,0634410,11772,Active,San Francisco,San Francisco Unified,Feinstein (Dianne) Elementary,2550 25th Avenue,2550 25th Ave.,San Francisco,94116-2901,CA,2550 25th Avenue,2550 25th Ave.,San Francisco,94116-2901,CA,(415) 615-8460,No Data,(415) 242-2532,No Data,08/28/2006,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.739964,-122.48185,Christina,Jung,09/17/2024,N,Feinstein (Dianne) ES,539.0,Feinstein (Dianne) ES
26,38684786041347.0,0634410,05640,Active,San Francisco,San Francisco Unified,Flynn (Leonard R.) Elementary,3125 Cesar Chavez Street,3125 Cesar Chavez St.,San Francisco,94110-4722,CA,3125 Cesar Chavez Street,3125 Cesar Chavez St.,San Francisco,94110-4722,CA,(415) 695-5770,No Data,(415) 695-5837,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.748190,-122.41203,Tyler,Woods,02/13/2019,Y,Flynn (Leonard R) ES,680.0,Flynn (Leonard R) ES
27,38684786059844.0,0634410,05610,Active,San Francisco,San Francisco Unified,Francisco Middle,2190 Powell Street,2190 Powell St.,San Francisco,94133-1949,CA,2190 Powell Street,2190 Powell St.,San Francisco,94133-1949,CA,(415) 291-7900,No Data,(415) 291-7910,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.804816,-122.41168,Hossein,Koch,07/24/2025,Y,Francisco MS,546.0,Francisco MS
28,38684783831765.0,0634410,05612,Active,San Francisco,San Francisco Unified,Galileo High,1150 Francisco Street,1150 Francisco St.,San Francisco,94109-1004,CA,1150 Francisco Street,1150 Francisco St.,San Francisco,94109-1004,CA,(415) 749-3430,No Data,(415) 771-2322,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.803401,-122.42408,DeTrice,Rodgers,09/17/2024,Y,Galileo HS,559.0,Galileo HS
29,38684786041040.0,0634410,05613,Active,San Francisco,San Francisco Unified,Garfield Elementary,420 Filbert Street,420 Filbert St.,San Francisco,94133-3002,CA,420 Filbert Street,420 Filbert St.,San Francisco,94133-3002,CA,(415) 291-7924,No Data,(415) 291-7916,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.801800,-122.40673,Karen,Maruoka,08/24/2022,Y,Garfield ES,562.0,Garfield ES
30,38684780128876.0,0634410,13687,Closed,San Francisco,San Francisco Unified,Gateway to College,"50 Phelan Avenue Science Hall, Room 127","50 Phelan Ave. Science Hall, Rm. 127",San Francisco,94112-1821,CA,"50 Phelan Avenue Science Hall, Room 127","50 Phelan Ave. Science Hall, Rm. 127",San Francisco,94112-1821,CA,No Data,No Data,No Data,Information Not Available,08/14/2013,06/30/2016,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,12,N,N,N,No Data,No Data,No Data,No Data,No Data,06/16/2017,No Data,Gateway to College,,
31,38684786059828.0,0634410,05580,Active,San Francisco,San Francisco Unified,Giannini (A.P.) Middle,3151 Ortega Street,3151 Ortega St.,San Francisco,94122-4051,CA,3151 Ortega Street,3151 Ortega St.,San Francisco,94122-4051,CA,(415) 759-2770,No Data,(415) 664-8541,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.751425,-122.49702,Tai-Sun,Schoeman,08/08/2024,Y,Giannini (A.P.) MS,404.0,Giannini (A.P.) MS
32,38684786041073.0,0634410,05618,Active,San Francisco,San Francisco Unified,Glen Park Elementary,151 Lippard Avenue,151 Lippard Ave.,San Francisco,94131-3249,CA,151 Lippard Avenue,151 Lippard Ave.,San Francisco,94131-3249,CA,(415) 469-4713,No Data,(415) 337-6942,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.733107,-122.43608,John,D'Antonio,07/24/2025,Y,Glen Park ES,575.0,Glen Park ES
33,38684786041115.0,0634410,05620,Active,San Francisco,San Francisco Unified,Grattan Elementary,165 Grattan Street,165 Grattan St.,San Francisco,94117-4208,CA,165 Grattan Street,165 Grattan St.,San Francisco,94117-4208,CA,(415) 759-2815,No Data,(415) 759-2803,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.763858,-122.45052,Catherine,Walter,02/09/2023,N,Grattan ES,589.0,Grattan ES
34,38684786041123.0,0634410,05621,Active,San Francisco,San Francisco Unified,Guadalupe Elementary,859 Prague Street,859 Prague St.,San Francisco,94112-4516,CA,859 Prague Street,859 Prague St.,San Francisco,94112-4516,CA,(415) 469-4718,No Data,(415) 469-4066,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.710438,-122.43441,Raj,Narayan Sharma,09/17/2024,Y,Guadalupe ES,593.0,Guadalupe ES
35,38684786040760.0,0634410,05591,Active,San Francisco,San Francisco Unified,Harte (Bret) Elementary,1035 Gilman Avenue,1035 Gilman Ave.,San Francisco,94124-3710,CA,1035 Gilman Avenue,1035 Gilman Ave.,San Francisco,94124-3710,CA,(415) 330-1520,No Data,(415) 330-1555,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.718610,-122.38889,Jeremy,Hilinski,02/13/2019,Y,Harte (Bret) ES,453.0,Harte (Bret) ES
36,38684786041156.0,0634410,05625,Active,San Francisco,San Francisco Unified,Hillcrest Elementary,810 Silver Avenue,810 Silver Ave.,San Francisco,94134-1012,CA,810 Silver Avenue,810 Silver Ave.,San Francisco,94134-1012,CA,(415) 469-4722,No Data,(415) 469-4067,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.729026,-122.41924,Patricia,Theel,09/17/2024,Y,Hillcrest ES,614.0,Hillcrest ES
37,38684786059851.0,0634410,05624,Active,San Francisco,San Francisco Unified,Hoover (Herbert) Middle,2290 14th Avenue,2290 14th Ave.,San Francisco,94116-1841,CA,2290 14th Avenue,2290 14th Ave.,San Francisco,94116-1841,CA,(415) 759-2783,No Data,(415) 759-2881,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.745350,-122.47031,Adrienne,Smith,09/17/2024,Y,Hoover (Herbert) MS,607.0,Hoover (Herbert) MS
38,38684786040984.0,0634410,05607,Active,San Francisco,San Francisco Unified,Huerta (Dolores) Elementary,65 Chenery Street,65 Chenery St.,San Francisco,94131-2706,CA,65 Chenery Street,65 Chenery St.,San Francisco,94131-2706,CA,(415) 695-5669,No Data,(415) 695-5343,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.740659,-122.42559,Edward,Garnica,09/17/2024,Y,Huerta (Dolores) ES,537.0,Huerta (Dolores) ES
39,38684783830197.0,0634410,07840,Active,San Francisco,San Francisco Unified,Independence High,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,(415) 242-2528,No Data,(415) 242-2533,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,N,N,No Data,37.763243,-122.46382,Anastasia,Klafter,02/09/2023,N,Independence HS,466.0,Independence HS
40,38684783830353.0,0634410,09625,Closed,San Francisco,San Francisco Unified,International Studies Academy,655 De Haro Street,655 De Haro St.,San Francisco,94107-2635,CA,655 De Haro Street,655 De Haro St.,San Francisco,94107-2635,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/2016,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,N,N,No Data,37.761597,-122.40120,No Data,No Data,08/05/2016,No Data,Int'L Studies Acad,624.0,Int'L Studies Acad
41,38684786041230.0,0634410,05631,Active,San Francisco,San Francisco Unified,Jefferson Elementary,1725 Irving Street,1725 Irving St.,San Francisco,94122-1893,CA,1725 Irving Street,1725 Irving St.,San Francisco,94122-1893,CA,(415) 759-2821,No Data,(415) 759-2806,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.763555,-122.47635,Craig,Berger,02/09/2023,N,Jefferson ES,644.0,Jefferson ES
42,38684780102103.0,0634410,11252,Active,San Francisco,San Francisco Unified,Jordan (June) School for Equity,325 La Grande Avenue,325 La Grande Ave.,San Francisco,94112-2866,CA,325 La Grande Avenue,325 La Grande Ave.,San Francisco,94112-2866,CA,(415) 452-4922,No Data,(415) 452-4927,www.sfusd.edu,08/25/2003,No Data,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,N,N,No Data,37.719997,-122.42550,Amanda,Chui,05/23/2025,N,Jordan (June) HS,757.0,Jordan (June) HS
43,38684786041008.0,0634410,05609,Active,San Francisco,San Francisco Unified,Key (Francis Scott) Elementary,1530 43rd Avenue,1530 43rd Ave.,San Francisco,94122-2925,CA,1530 43rd Avenue,1530 43rd Ave.,San Francisco,94122-2925,CA,(415) 759-2811,No Data,(415) 759-2810,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.758154,-122.50249,Cynthia,Lam,09/17/2024,N,Key (Francis Scott) ES,544.0,Key (Francis Scott) ES
44,38684786041602.0,0634410,05671,Active,San Francisco,San Francisco Unified,King (Thomas Starr) Elementary,1215 Carolina Street,1215 Carolina St.,San Francisco,94107-3322,CA,1215 Carolina Street,1215 Carolina St.,San Francisco,94107-3322,CA,(415) 695-5797,No Data,(415) 695-5338,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.752765,-122.39935,Samatra,Downing,08/01/2025,Y,King (Thomas Starr) ES,838.0,King (Thomas Starr) ES
45,38684786059885.0,0634410,05655,Active,San Francisco,San Francisco Unified,King Jr. (Martin Luther) Academic Middle,350 Girard Street,350 Girard St.,San Francisco,94134-1469,CA,350 Girard Street,350 Girard St.,San Francisco,94134-1469,CA,(415) 330-1500,No Data,(415) 468-7295,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.727948,-122.40491,Bryon,Gougoumis,07/24/2025,Y,King Jr (Dr Martin L) MS,710.0,King Jr (Dr Martin L) MS
46,38684786041305.0,0634410,05637,Active,San Francisco,San Francisco Unified,Lafayette Elementary,4545 Anza Street,4545 Anza St.,San Francisco,94121-2621,CA,4545 Anza Street,4545 Anza St.,San Francisco,94121-2621,CA,(415) 750-8483,No Data,(415) 750-8472,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.777608,-122.49688,Krishna,Kassebaum,09/17/2024,N,Lafayette ES,664.0,Lafayette ES
47,38684786041321.0,0634410,05638,Active,San Francisco,San Francisco Unified,Lakeshore Alternative Elementary,220 Middlefield Drive,220 Middlefield Dr.,San Francisco,94132-1418,CA,220 Middlefield Drive,220 Middlefield Dr.,San Francisco,94132-1418,CA,(415) 759-2825,No Data,(415) 753-8312,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.730603,-122.48615,Matthew,Hartford,09/17/2024,N,Lakeshore ES,670.0,Lakeshore ES
