idSchool,SchoolName,Grade,Program Code,Program Name,Total Requests,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+
439,Balboa HS,12,NX,NX: Newcomer Program,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,6,GE,GE: General Education,315,113,57,45,37,29,9,8,2,6,9
858,Brown Jr. (Willie) MS,7,GE,GE: General Education,3,0,1,0,1,0,0,0,0,0,1
858,Brown Jr. (Willie) MS,8,GE,GE: General Education,10,7,0,1,0,2,0,0,0,0,0
858,Brown Jr. (Willie) MS,6,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,7,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,8,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,6,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,7,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,8,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
456,Bryant ES,TK,GE,GE: General Education,49,9,10,9,3,5,3,1,2,0,7
456,Bryant ES,K,GE,GE: General Education,69,15,7,8,15,5,4,7,1,1,6
456,Bryant ES,1,GE,GE: General Education,1,0,0,1,0,0,0,0,0,0,0
456,Bryant ES,2,GE,GE: General Education,1,1,0,0,0,0,0,0,0,0,0
456,Bryant ES,3,GE,GE: General Education,5,2,1,0,1,1,0,0,0,0,0
456,Bryant ES,4,GE,GE: General Education,1,0,1,0,0,0,0,0,0,0,0
456,Bryant ES,5,GE,GE: General Education,2,0,2,0,0,0,0,0,0,0,0
456,Bryant ES,K,SB,SB: Spanish Biliteracy,50,12,14,13,4,5,1,0,1,0,0
456,Bryant ES,1,SB,SB: Spanish Biliteracy,3,1,0,0,1,1,0,0,0,0,0
456,Bryant ES,2,SB,SB: Spanish Biliteracy,2,1,0,0,0,1,0,0,0,0,0
456,Bryant ES,3,SB,SB: Spanish Biliteracy,2,1,0,1,0,0,0,0,0,0,0
456,Bryant ES,4,SB,SB: Spanish Biliteracy,1,0,0,1,0,0,0,0,0,0,0
456,Bryant ES,5,SB,SB: Spanish Biliteracy,2,0,0,1,1,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,K,MM,MM: SDC - Mild to Moderate,8,3,0,2,1,1,1,0,0,0,0
618,Buena Vista Horace Mann K-8,1,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,2,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,3,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,4,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,5,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,K,SE,SE: Spanish Immersion (Non-Native),115,19,15,21,15,16,5,4,2,2,16
618,Buena Vista Horace Mann K-8,1,SE,SE: Spanish Immersion (Non-Native),5,0,0,2,1,1,0,0,0,0,1
618,Buena Vista Horace Mann K-8,K,SN,SN: Spanish Immersion (Spanish Speakers),97,32,13,19,13,6,1,1,1,2,9
618,Buena Vista Horace Mann K-8,1,SN,SN: Spanish Immersion (Spanish Speakers),8,2,1,2,3,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,2,SN,SN: Spanish Immersion (Spanish Speakers),7,3,1,2,1,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,3,SN,SN: Spanish Immersion (Spanish Speakers),7,2,2,2,0,0,0,0,0,0,1
618,Buena Vista Horace Mann K-8,4,SN,SN: Spanish Immersion (Spanish Speakers),8,6,1,0,0,0,0,0,0,0,1
618,Buena Vista Horace Mann K-8,5,SN,SN: Spanish Immersion (Spanish Speakers),4,3,0,0,0,1,0,0,0,0,0
618,Buena Vista Horace Mann K-8,6,SN,SN: Spanish Immersion (Spanish Speakers),136,41,34,32,12,12,1,2,2,0,0
618,Buena Vista Horace Mann K-8,7,SN,SN: Spanish Immersion (Spanish Speakers),2,2,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,8,SN,SN: Spanish Immersion (Spanish Speakers),3,1,1,0,1,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,13,CA,SDC Transition Program (CAT),9,1,1,4,1,2,0,0,0,0,0
764,Burton (Phillip and Sala) HS,9,GE,GE: General Education,637,140,128,118,90,106,29,14,6,3,3
764,Burton (Phillip and Sala) HS,10,GE,GE: General Education,7,3,1,1,0,1,0,1,0,0,0
764,Burton (Phillip and Sala) HS,11,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,12,GE,GE: General Education,4,1,1,0,1,1,0,0,0,0,0
764,Burton (Phillip and Sala) HS,9,MM,MM: SDC - Mild to Moderate,14,2,1,3,2,3,2,0,0,0,1
764,Burton (Phillip and Sala) HS,10,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,11,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,12,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,9,MS,MS: SDC - Extensive Services,1,0,0,1,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,10,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,11,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
764,Burton (Phillip and Sala) HS,12,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,K,FB,FB: Filipino FLES,30,17,6,1,1,0,1,0,1,1,2
449,Carmichael (Bessie) K-8,1,FB,FB: Filipino FLES,2,1,1,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,2,FB,FB: Filipino FLES,1,1,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,3,FB,FB: Filipino FLES,0,0,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,4,FB,FB: Filipino FLES,0,0,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,5,FB,FB: Filipino FLES,0,0,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,TK,GE,GE: General Education,36,15,5,5,5,1,1,0,0,1,3
449,Carmichael (Bessie) K-8,K,GE,GE: General Education,84,28,23,10,5,4,3,1,0,1,9
449,Carmichael (Bessie) K-8,1,GE,GE: General Education,1,0,1,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,2,GE,GE: General Education,6,2,1,1,1,1,0,0,0,0,0
449,Carmichael (Bessie) K-8,3,GE,GE: General Education,3,2,0,0,0,1,0,0,0,0,0
449,Carmichael (Bessie) K-8,4,GE,GE: General Education,4,1,1,0,0,1,0,1,0,0,0
449,Carmichael (Bessie) K-8,5,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
449,Carmichael (Bessie) K-8,6,GE,GE: General Education,79,28,10,12,7,9,2,1,2,3,5
449,Carmichael (Bessie) K-8,7,GE,GE: General Education,1,0,0,0,0,0,0,0,0,0,1
449,Carmichael (Bessie) K-8,8,GE,GE: General Education,2,1,0,0,0,0,0,0,0,1,0
625,Carver (Dr George W) ES,TK,GE,GE: General Education,16,4,4,4,1,3,0,0,0,0,0
625,Carver (Dr George W) ES,K,GE,GE: General Education,32,8,9,3,1,2,2,0,0,0,7
625,Carver (Dr George W) ES,1,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
625,Carver (Dr George W) ES,2,GE,GE: General Education,2,1,0,0,1,0,0,0,0,0,0
625,Carver (Dr George W) ES,3,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
625,Carver (Dr George W) ES,4,GE,GE: General Education,1,0,1,0,0,0,0,0,0,0,0
625,Carver (Dr George W) ES,5,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,TK,GE,GE: General Education,65,4,14,9,7,13,3,3,3,2,7
603,Chavez (Cesar) ES,K,GE,GE: General Education,90,9,16,20,14,14,2,7,2,0,6
603,Chavez (Cesar) ES,1,GE,GE: General Education,3,0,2,1,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,2,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,3,GE,GE: General Education,2,0,1,1,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,4,GE,GE: General Education,4,1,1,0,1,1,0,0,0,0,0
603,Chavez (Cesar) ES,5,GE,GE: General Education,1,0,0,1,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,K,SB,SB: Spanish Biliteracy,80,28,16,15,10,7,2,1,0,1,0
603,Chavez (Cesar) ES,1,SB,SB: Spanish Biliteracy,6,0,1,3,0,2,0,0,0,0,0
603,Chavez (Cesar) ES,2,SB,SB: Spanish Biliteracy,7,3,1,0,0,2,1,0,0,0,0
603,Chavez (Cesar) ES,3,SB,SB: Spanish Biliteracy,3,1,0,1,1,0,0,0,0,0,0
603,Chavez (Cesar) ES,4,SB,SB: Spanish Biliteracy,5,0,1,3,0,1,0,0,0,0,0
603,Chavez (Cesar) ES,5,SB,SB: Spanish Biliteracy,3,0,1,1,0,1,0,0,0,0,0
603,Chavez (Cesar) ES,TK,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,K,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,1,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,2,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,3,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,4,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
603,Chavez (Cesar) ES,5,TC,TC: SDC - Total Communication,0,0,0,0,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,K,CB,CB: Cantonese Biliteracy,0,0,0,0,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,1,CB,CB: Cantonese Biliteracy,0,0,0,0,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,2,CB,CB: Cantonese Biliteracy,0,0,0,0,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,K,GE,GE: General Education,167,32,29,36,18,14,3,8,2,8,17
872,Chin (John Yehall) ES,1,GE,GE: General Education,4,0,1,1,1,0,1,0,0,0,0
872,Chin (John Yehall) ES,2,GE,GE: General Education,1,0,0,1,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,3,GE,GE: General Education,6,1,2,0,0,1,0,1,1,0,0
872,Chin (John Yehall) ES,4,GE,GE: General Education,2,0,0,2,0,0,0,0,0,0,0
872,Chin (John Yehall) ES,5,GE,GE: General Education,6,2,0,3,0,1,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,TK,CE,CE: Cantonese Immersion (All English),142,60,24,14,18,11,6,2,3,0,4
509,Chinese Immersion School at DeAvila ES,K,CE,CE: Cantonese Immersion (All English),223,34,44,28,16,27,17,8,5,5,39
509,Chinese Immersion School at DeAvila ES,1,CE,CE: Cantonese Immersion (All English),14,7,4,2,0,1,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,TK,CN,CN: Cantonese Immersion (Cantonese Speakers),56,27,9,4,6,5,3,0,1,0,1
509,Chinese Immersion School at DeAvila ES,K,CN,CN: Cantonese Immersion (Cantonese Speakers),114,40,21,20,3,11,4,3,4,2,6
509,Chinese Immersion School at DeAvila ES,1,CN,CN: Cantonese Immersion (Cantonese Speakers),4,2,2,0,0,0,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,2,CN,CN: Cantonese Immersion (Cantonese Speakers),4,3,1,0,0,0,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,3,CN,CN: Cantonese Immersion (Cantonese Speakers),1,0,0,1,0,0,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,4,CN,CN: Cantonese Immersion (Cantonese Speakers),1,1,0,0,0,0,0,0,0,0,0
509,Chinese Immersion School at DeAvila ES,5,CN,CN: Cantonese Immersion (Cantonese Speakers),0,0,0,0,0,0,0,0,0,0,0
478,Clarendon ES,K,GE,GE: General Education,704,74,107,96,101,66,66,40,38,19,97
478,Clarendon ES,1,GE,GE: General Education,26,4,6,1,5,5,1,1,1,0,2
478,Clarendon ES,2,GE,GE: General Education,37,13,4,9,5,3,1,0,0,0,2
478,Clarendon ES,3,GE,GE: General Education,28,4,4,8,4,3,1,0,3,0,1
478,Clarendon ES,4,GE,GE: General Education,16,2,2,5,1,4,0,0,0,0,2
478,Clarendon ES,5,GE,GE: General Education,8,2,3,1,1,0,0,0,0,0,1
478,Clarendon ES,1,JB,JB: Japanese Bilingual Bicultural Prgram,10,5,1,3,1,0,0,0,0,0,0
478,Clarendon ES,2,JB,JB: Japanese Bilingual Bicultural Prgram,13,4,3,3,0,1,0,1,0,1,0
478,Clarendon ES,3,JB,JB: Japanese Bilingual Bicultural Prgram,9,2,5,1,1,0,0,0,0,0,0
478,Clarendon ES,4,JB,JB: Japanese Bilingual Bicultural Prgram,1,0,1,0,0,0,0,0,0,0,0
478,Clarendon ES,5,JB,JB: Japanese Bilingual Bicultural Prgram,1,0,0,1,0,0,0,0,0,0,0
478,Clarendon ES,K,JE,JE: Japanese Bilingual Bicultural Program - English Cohort,329,78,51,37,39,29,22,22,6,8,37
478,Clarendon ES,K,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort,14,9,4,0,0,1,0,0,0,0,0
478,Clarendon ES,K,MM,MM: SDC - Mild to Moderate,15,4,5,4,2,0,0,0,0,0,0
478,Clarendon ES,1,MM,MM: SDC - Mild to Moderate,1,1,0,0,0,0,0,0,0,0,0
478,Clarendon ES,2,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
478,Clarendon ES,3,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
478,Clarendon ES,4,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
478,Clarendon ES,5,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
481,Cleveland ES,K,GE,GE: General Education,55,4,13,8,9,5,3,3,2,0,8
481,Cleveland ES,1,GE,GE: General Education,1,0,1,0,0,0,0,0,0,0,0
481,Cleveland ES,2,GE,GE: General Education,1,0,1,0,0,0,0,0,0,0,0
481,Cleveland ES,3,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
481,Cleveland ES,4,GE,GE: General Education,1,0,0,0,1,0,0,0,0,0,0
481,Cleveland ES,5,GE,GE: General Education,2,2,0,0,0,0,0,0,0,0,0
481,Cleveland ES,K,SB,SB: Spanish Biliteracy,50,10,16,12,3,5,2,0,0,0,2
481,Cleveland ES,1,SB,SB: Spanish Biliteracy,0,0,0,0,0,0,0,0,0,0,0
481,Cleveland ES,2,SB,SB: Spanish Biliteracy,1,0,0,1,0,0,0,0,0,0,0
481,Cleveland ES,3,SB,SB: Spanish Biliteracy,1,1,0,0,0,0,0,0,0,0,0
481,Cleveland ES,4,SB,SB: Spanish Biliteracy,0,0,0,0,0,0,0,0,0,0,0
481,Cleveland ES,5,SB,SB: Spanish Biliteracy,1,0,1,0,0,0,0,0,0,0,0
525,Cobb (Dr William L) ES,TK,GE,GE: General Education,85,12,13,8,16,8,4,7,4,3,10
525,Cobb (Dr William L) ES,K,GE,GE: General Education,109,12,12,13,11,10,5,7,5,3,31
525,Cobb (Dr William L) ES,1,GE,GE: General Education,6,2,0,1,0,0,0,0,0,0,3
525,Cobb (Dr William L) ES,2,GE,GE: General Education,3,2,0,0,0,1,0,0,0,0,0
525,Cobb (Dr William L) ES,3,GE,GE: General Education,3,1,0,0,0,0,1,0,0,0,1
525,Cobb (Dr William L) ES,4,GE,GE: General Education,3,0,0,2,0,0,0,0,0,0,1
525,Cobb (Dr William L) ES,5,GE,GE: General Education,2,0,0,0,2,0,0,0,0,0,0
632,Denman (James) MS,6,AF,AF: SDC - Mild/Mod Autism Focus,8,1,3,3,1,0,0,0,0,0,0
632,Denman (James) MS,7,AF,AF: SDC - Mild/Mod Autism Focus,1,0,0,1,0,0,0,0,0,0,0
632,Denman (James) MS,8,AF,AF: SDC - Mild/Mod Autism Focus,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,6,ED,ED: SDC - SOAR,1,0,1,0,0,0,0,0,0,0,0
632,Denman (James) MS,7,ED,ED: SDC - SOAR,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,8,ED,ED: SDC - SOAR,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,6,GE,GE: General Education,569,203,112,85,71,48,20,14,5,4,7
632,Denman (James) MS,7,GE,GE: General Education,7,3,1,1,1,0,0,0,0,0,1
632,Denman (James) MS,8,GE,GE: General Education,8,0,1,2,2,1,0,0,0,1,1
632,Denman (James) MS,6,MM,MM: SDC - Mild to Moderate,15,5,5,3,1,1,0,0,0,0,0
632,Denman (James) MS,7,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,8,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,6,MS,MS: SDC - Extensive Services,5,2,0,1,2,0,0,0,0,0,0
632,Denman (James) MS,7,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
632,Denman (James) MS,8,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
507,Drew (Dr Charles) College Preparatory Academy ES,TK,GE,GE: General Education,34,14,6,2,5,2,2,0,0,0,3
507,Drew (Dr Charles) College Preparatory Academy ES,K,GE,GE: General Education,67,29,9,10,11,1,0,0,1,0,6
507,Drew (Dr Charles) College Preparatory Academy ES,1,GE,GE: General Education,0,0,0,0,0,0,0,0,0,0,0
